"","Gene","mean","median","sd","max","Patient_ID","Sample","Tissue","Timepoint","Annotation","BestResponse","Residual"
"G0S2","G0S2",0.159454647,0,0.542522839104291,6.664920946,0.0225174132287935,0.0160365242733774,0.0000000105915838625522,0.000144552153500252,0.00790779909950713,0.0000000129249709707397,0.953393687728267
"AIF1","AIF1",0.584717036,0.11115939,0.97794157875088,5.45290381,0.0224471154456302,0.0342543234291922,0,0.000000000302849040332383,0.000000000222454675707045,0.0154139220640458,0.927884638535828
"CCR7","CCR7",0.087942601,0,0.313016046361766,4.717929849,0.0224356967005527,0,0.000000000106328365935655,0,0,0,0.977564303193119
"CD163","CD163",1.279657037,0.316979224,1.87883616113274,6.562975629,0.0219851008965189,0.0151541760390884,0,0,0,0.0192998562990894,0.943560866765303
"JAK3","JAK3",0.923630662,0.45552799,1.13056456197207,5.8649767,0.0214861805342612,0.0082026399685891,0.00525142062801301,0,0,0.000000000595379537591578,0.965059758273757
"CORO1A","CORO1A",1.004249986,0.17543844,1.37075380515532,5.55213689,0.0212991319362258,0,0.00000000557462227942106,0,0,0.000000000249791271575545,0.978700862239361
"ARPC5","ARPC5",0.82646823,0.61071209,0.92624566022627,6.85196394,0.0209273644523565,0.0000000060276830491878,0,0.0000000149938093473301,0.000000153350352510182,0.0000000430210416810966,0.979072418154757
"PTPN1","PTPN1",0.956918679,0.76383096,0.95522836588282,5.56568331,0.0205722299473278,0.000000001094022449864,0.000000000262713473991626,0,0.0148363161149638,0.000000000530744589907899,0.964591452050228
"ARPC3","ARPC3",0.69136876,0.44383606,0.826972020213528,5.48054009,0.0202559211398906,0.000000000133639240375216,0,0.000000000120626636270826,0,0,0.979744078605844
"CD14","CD14",0.462199529,0.053511023,0.882173617068866,5.228097614,0.0202075191080227,0.00722893894040635,0.0000000026533185387623,0.000000019301269002386,0,0.00000103556957895207,0.972562484427404
"LGMN","LGMN",1.402328047,0.90630885,1.5104122714106,6.44216876,0.0199591300539222,0,0.000000353898365428291,0,0.00430979404054345,0.000000948556130596814,0.975729773451038
"IL10RA","IL10RA",1.276322003,0.280693813,1.55633000948316,6.465591146,0.0197241184914467,0.0171018981063326,0.000000000699216015077736,0.0000000033676112323012,0.0139815658930396,0,0.949192413442354
"SIRPA","SIRPA",0.724519414,0.31166213,0.928880743934418,6.02065647,0.0196983613732288,0.0057617633010921,0,0,0,0.00841309356237219,0.966126781763307
"STAT5B","STAT5B",1.159381616,1.09584798,1.00247486611607,6.44517741,0.019436075207344,0.00000000126657508272999,0.00192472709081222,0.0141284210206417,0.0133831904756388,0,0.951127584938988
"TNFSF12","TNFSF12",0.500960847,0.3301437,0.635798139268374,5.64669329,0.0192971894612723,0,0.00627987431914547,0.00374167609375691,0.00651442672525601,0.0237326136395327,0.940434219761037
"TUBB","TUBB",0.630076728,0.39242152,0.896485738079334,5.36442078,0.0185796082464883,0.0050505077837617,0,0,0.000000000604808796487078,0.00000000794615069146745,0.976369875418791
"STMN1","STMN1",0.494608674,0.16827953,0.999661435503959,5.609210516,0.018491231849089,0,0,0,0,0,0.981508768150911
"NCAM1","NCAM1",0.172410919,0,0.423829508818054,5.868901404,0.0182009238958159,0.000445284040120394,0.00000000144414667849674,0,0,0,0.981353790619917
"VSIG4","VSIG4",0.686195794,0.04150574,1.28874252051971,5.4435282,0.0181105571032055,0.0140877977633096,0.000000000251566710235691,0.000000000199238172566975,0,0,0.96780164468268
"ATM","ATM",1.838423615,1.6318716,1.37424851998554,6.3205628,0.0177439770695402,0,0.0034687922800365,0,0.0118326960720581,0,0.966954534578365
"CEACAM1","CEACAM1",0.199707322,0,0.547001081469594,4.942594601,0.0177091495910215,0.00000000188892666534997,0,0,0,0.00000000679824326378642,0.982290841721809
"IFNAR1","IFNAR1",1.121869249,1.07066364,0.94088676887313,6.29485758,0.0176662411336539,0.0114204849782916,0,0.00000000616416351788275,0.00646874187418612,0,0.964444525849705
"ID2","ID2",0.754235408,0.43672428,0.915819031378136,6.2879791,0.0167005185468082,0.0101550792756311,0.0000000211447955138185,0.0149480538684289,0.00000000239794109212189,0.000000000686460261779462,0.958196324079935
"UBE2C","UBE2C",0.209973363,0,0.664730883068148,5.052181426,0.0160443660516935,0,0,0,0.000000000162227595210808,0,0.983955633786079
"MARCO","MARCO",0.353433438,0,0.901690041290346,5.675641968,0.0159570177938272,0.0188258114291726,0,0,0,0,0.965217170777
"IL1B","IL1B",0.029753541,0,0.0907641907223232,0.992050904,0.0156633481954891,0,0.0124613486499989,0.000464277234557244,0,0.0343451906644823,0.937065835255472
"IRF2","IRF2",0.7686585,0.64138875,0.80538924417233,5.86294028,0.0156239567972557,0,0.00131520092905429,0.00415368304514535,0.0177897398423412,0,0.961117419386203
"AKT1","AKT1",0.770102685,0.64441919,0.82672940867044,5.82420687,0.0155655165890585,0.000000000855929835743526,0.00000000118130457529194,0.000197052614174428,0,0,0.984237428759533
"ENTPD1","ENTPD1",0.76342329,0.26989392,0.999920489305955,5.7045412,0.0154359716643473,0,0.00317452615183679,0,0.00940757750485471,0.00772232206600673,0.964259602612955
"TNFRSF14","TNFRSF14",1.306086557,1.12325852,1.10823019951596,5.70505705,0.0153190431968123,0.00109457617404817,0,0.000000000203241760658001,0.00482772556523601,0,0.978758654860662
"ITGAM","ITGAM",0.800386565,0.122710236,1.20906843462155,6.105950691,0.0150521643353757,0.0322651663035832,0.0000000025401780172873,0,0,0.00901217734808797,0.943670489472775
"DGKA","DGKA",1.070513567,0.63233876,1.24284375807859,6.09189977,0.0148693313076051,0,0.00625589950381083,0,0.00304594453034955,0.00000000143650670264248,0.975828823221728
"BRAF","BRAF",0.822829969,0.71839417,0.786821932832997,5.38896577,0.0148593490540508,0.00000000142250865645935,0.00000000037002186446093,0.00000000225141671392063,0.00672834383142147,0,0.97841230307058
"HLA-B","HLA-B",1.719302126,1.47507614,1.42707963027586,5.63086605,0.0148394348620053,0,0.00737689580278163,0.000000000233935127523482,0.000000000098361880664339,0,0.977783669002916
"COTL1","COTL1",0.51867856,0.233553032,0.795030960887403,5.630866049,0.0145420374401617,0.000000000179310685187504,0.00000000527659959215855,0,0.00000000080914211210715,0.011478971136781,0.973978985158005
"FCGR2B","FCGR2B",0.875486524,0.147536811,1.34245286901446,5.864976698,0.0144464157877911,0.0210368748692058,0,0.00701775604207511,0,0.0024532986308592,0.955045654670069
"IGHGP","IGHGP",0.351347741,0,1.05856922815897,6.391991443,0.0142932984603766,0.00923383172026606,0,0,0.0049098628477081,0,0.971563006971649
"HAVCR2","HAVCR2",0.377149005,0.031966395,0.708455470621129,4.915267487,0.0142677213255601,0.0253960069687438,0,0,0,0.0110795062176122,0.949256765488084
"LILRA5","LILRA5",0.137709925,0,0.385943047613594,5.291699741,0.0142521640598951,0.00059985781430078,0.000000000270794020555894,0,0,0.00000000153708042511749,0.98514797631793
"CCL20","CCL20",0.059079788,0,0.165001520278808,2.180022457,0.0142118784826844,0.0126654561765342,0.00509979970938857,0,0.00700219236345855,0,0.961020673267934
"CDK12","CDK12",1.042794556,0.95818228,0.926454684652727,5.21800502,0.0141766559671707,0,0.000000000220248114033961,0.000000000233208469709432,0.0188905307785802,0,0.966932812800793
"C1QB","C1QB",0.364378165,0.006639832,0.783306109466423,5.375523029,0.013916923028861,0.00556137495386887,0,0,0,0,0.98052170201727
"GZMH","GZMH",0.164664414,0,0.593092518203408,5.03753427,0.0138840666591152,0.0123218245209916,0,0,0,0.000000000392958220298688,0.973794108426935
"TOX","TOX",0.278600668,0.01550259,0.620604810062712,4.747886974,0.013882922451596,0,0,0.00891561317160732,0.00539832572307719,0.00000000016866678256778,0.971803138485053
"JUNB","JUNB",0.418373765,0.228025997,0.568621662868777,4.891033627,0.0138779995191331,0.0261569412298443,0,0.000000000420789074756126,0,0.0000000023668377948471,0.959965056463396
"ITGAE","ITGAE",0.16180321,0.04484591,0.363202641934849,4.27331561,0.0138569896585479,0,0,0.00548654784159317,0,0,0.980656462499859
"CD226","CD226",0.284547523,0.03134538,0.569349972832771,3.50680236,0.0138249154393447,0.0121403023230611,0.00321389925225981,0,0.00309827976076355,0.00734902260182391,0.960373580622747
"HSPH1","HSPH1",0.813775659,0.57206912,0.889043706082314,5.94956696,0.0137994858809178,0,0.000000000736432236944648,0,0.0091447573637237,0.00000000809231476648101,0.977055747926611
"GLIPR2","GLIPR2",0.376175427,0.19467836,0.53831944381711,4.53083243,0.0136258109699569,0.0134768649603838,0,0.000000000766754836844109,0,0.0134056353185783,0.959491687984326
"DLL1","DLL1",0.201363754,0.04392403,0.43078695727926,5.20524277,0.0132616304289849,0,0.000000000143805446862186,0,0.00560717974974927,0.00000000387842562380146,0.981131185799035
"SELENOP","SELENOP",1.979856783,1.64083545,1.60215095812423,6.81439748,0.0130594747992086,0.0052216290269841,0.00380365021311999,0,0,0,0.977915245960687
"ISG15","ISG15",0.196584,0.07025134,0.391590132998258,4.97858825,0.0126852308633024,0.0167574481152737,0,0,0.0146885293649147,0.0000000125074172688231,0.955868779149092
"HIF1A","HIF1A",0.653951238,0.47643637,0.724497363605823,5.01070097,0.0126789440943266,0.0180609104171461,0,0,0.0138519425765436,0.00340953552121741,0.951998667390766
"CD47","CD47",2.016380468,1.933136,1.37353995766436,6.4655911,0.0122904938665729,0,0.00302395998110294,0,0.00144664070512077,0,0.983238905447203
"TRAF2","TRAF2",0.17391057,0.06023065,0.373545727649283,5.86294028,0.0120282541483997,0.008802496517293,0.0000000712504150629699,0.00000011113289437362,0.00038834318668657,0.00000159797177759808,0.978779125792534
